Day,China,Italy
1,0,0
2,0,0
3,17,0
4,0,0
5,15,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,4,0
18,17,0
19,136,0
20,19,0
21,151,0
22,140,0
23,97,0
24,259,0
25,441,0
26,665,0
27,787,0
28,1753,0
29,1466,0
30,1740,0
31,1980,3
32,2095,0
33,2590,0
34,2812,0
35,3237,0
36,3872,0
37,3727,0
38,3160,0
39,3418,0
40,2607,0
41,2974,0
42,2490,0
43,2028,0
44,15141,0
45,4156,0
46,2538,0
47,2007,0
48,2052,0
49,1890,0
50,1750,0
51,394,0
52,891,0
53,826,14
54,647,62
55,218,53
56,515,97
57,410,93
58,439,78
59,329,250
60,428,238
61,574,240
62,205,561
63,127,347
64,119,466
65,117,587
66,170,769
67,101,778
68,46,1247
69,45,1492
70,20,1797
71,29,977
72,24,2313
73,22,2651
74,19,2547
75,22,3497
76,25,2823
77,43,4000
78,23,3526
79,44,4207
80,99,5322
81,52,5986
82,65,6557
83,138,5560
84,69,4789
85,78,5249
86,102,5210
87,94,6153
88,119,5959
89,113,5974
90,98,5217
91,84,4050
92,54,4053
93,100,4782
94,70,4668
95,62,4585
96,48,4805
97,67,4316
98,56,3599
99,86,3039
